Sample in Buffer,Sample in Window,TRIGGER,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/iTrigOrigin[1:0],Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_1,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_2,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_3,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_4,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_5,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_6,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_7,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_8,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_9,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_10,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_11,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/rTrigVector[1:0],Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_12,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_13,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_14,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_15,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_16,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_17,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_18,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_19,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_20,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_21,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_22,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_23,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_24,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_25,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/rTrigToggle[31:0],Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/rCAP_cur_state[3:0],Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/rStateToFINISHIntr,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/oTrigVectorPending[1:0],Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_26,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_27,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_28,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_29,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_30,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_31,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_32,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_33,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_34,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_35,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_36,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_37,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>_38,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/<const0>,Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/iTrigDMAStart[0:0],Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/iTrigDMAPosition[31:0],Adc3444_TCP_i/TriggerCh_0/inst/inst_TriggerDMA/iTrigDMAStartAddr[31:0]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000004ec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,00230e00
